compound,score
COc1ccc(Cl)cc1NC(=O)CN(C)C(C)C(=O)NCC1CCCCC1,1
O=c1c(-c2ccc3c(c2)OCCO3)coc2c(CN3CCOCC3)c(O)ccc12,0
Cc1noc(C)c1S(=O)(=O)N1CCCC(C(=O)Nc2nccs2)C1,1
COCCCNC(=O)c1ccc(CS(=O)(=O)c2ccc(OC)cc2)o1,0
COc1ccc(CN(Cc2ccncc2)C(=O)CCC(=O)O)cc1,0
Cc1nn(-c2ccccc2)c2nc(-c3ccncc3)cc(C(=O)NCc3ccco3)c12,1
Cc1nc2n[nH]c(N)c2c2c1COC(C)(C)C2,0
COc1ccc(OC)c(C=NNC(=O)c2csc3ccccc23)c1,1
Cc1ccc(S(=O)(=O)NCC2CCC(C(=O)O)CC2)cc1,0
CSc1nnc2c(n1)OC(C1CC=C(C)CC1)Nc1ccccc1-2,0
CC(=O)c1cccc(NC(=O)c2cc3nc(C)cc(C)n3n2)c1,0
CCOCCCNC(=O)NC(C)C(=O)OC,0
O=C(Nn1c(=O)[nH]c2ccccc2c1=O)c1ccco1,0
Cc1cc(C)cc(OCCCOc2cccc3cccnc23)c1,1
CCOC(=O)c1oc2ccccc2c1NC(=O)c1ccc(Cl)s1,0
CC(=O)c1nc(N2C(=O)C3CC=C(C)CC3C2=O)sc1C,0
CC1(C)CC(=O)c2c(O)cc(O)cc2O1,0
C=CCSC1=NC(=Cc2ccc(C)o2)C(=O)S1,1
Cc1ccccc1-c1nc(Nc2ccncc2)c2ccccc2n1,0
COc1nc(OC)nc(N2CCC(C(=O)NCc3ccc(F)cc3)CC2)n1,0
CCCCN(C)CCCNC(=O)C1CC(=O)N(Cc2ccc(OC)cc2)C1,0
COc1ccc2[nH]c3c(c2c1)CN(C)CC3,0
COc1ccccc1NS(=O)(=O)c1cc(C)ccc1C,1
CCCNC(=O)C1CNc2ccccc2O1,0
CN(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,0
CCCCOc1ccc(C(=O)Nc2ccncc2)cc1,1
CC(=O)c1cc2c(cc1NC(=O)CN1CCN(c3ccc(F)cc3)CC1)OCO2,0
Cc1c(NC(=O)c2ccc(CN3CCc4ccccc4C3)cc2)c(=O)n(-c2ccccc2)n1C,0
Cc1cc(C)c2oc(-c3ccc(C)c(NC(=S)NC(=O)C=Cc4ccco4)c3)nc2c1,1
O=C(NCC(c1cccs1)N1CCOCC1)c1ccco1,1
Cc1cccc(C)c1NC(=O)C[N+](C)(C)C,0
CCOc1ccc(-c2nc(C#N)c(N3CCCCCC3)o2)cc1,0
CN(C)CC(O)COc1ccc(-c2ccc(C#N)cc2)cc1,0
Cc1nn(-c2ccc(Cl)cc2)c2sc(C(=O)N3CCN(C(=O)c4ccco4)CC3)cc12,0
COc1ccc(C(=O)Nc2scc(-c3ccc(Cl)cc3Cl)c2C(N)=O)cc1,1
O=C(O)c1cccnc1SC1CC(=O)N(c2cccc(C(F)(F)F)c2)C1=O,0
O=[N+]([O-])c1ccc(N2CCCC2)cc1NCc1ccccc1,1
CCOc1ccccc1NC(=O)CSc1nc(N)c(C#N)cc1C#N,0
CCN1CCN(S(=O)(=O)c2cccs2)CC1,0
CCOc1ccc(-c2cc(CCCC(=O)NCc3ccco3)no2)cc1,0
O=C(NCC1CCCO1)c1cc(-c2ccc(Cl)cc2Cl)on1,1
COC(=O)c1c(-c2cccs2)csc1NC(=O)c1cccnc1,1
CCC(C(=O)NC1CCCCC1)N(CC1CCCO1)C(=O)CNS(=O)(=O)c1ccc(OC)cc1,0
CCn1c(CC(=O)Nc2ccc(C)cc2)nnc1SCC(=O)Nc1nc(C)cs1,0
CC(NC(=O)C1C2C=CC(C2)C1C(=O)O)c1ccccc1,0
CCCc1n[nH]c2c1C(c1cccnc1)C(C#N)=C(N)O2,0
O=C(NN=Cc1cccs1)c1ccccn1,0
CCOc1ccccc1N1CCN(S(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3)CC1,1
Cc1ccc(-c2nc3cnccn3c2Nc2ccc3c(c2)OCO3)o1,1
COc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)NCCO)cc1,0
CCCN1C2CCCC1CC(NC(=O)Nc1cccc(C(C)=O)c1)C2,0
Cc1nc2ncnn2c(C)c1CCC(=O)N1CCOCC1,0
Nc1cc(C(=O)O)ccc1Nc1ccccc1,0
O=C(c1cnccn1)N1CCC2(CC1)CN(c1ccccn1)C2,0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(F)cc1,1
CCOC(=O)CSc1nnc(CNC(=O)c2cccs2)n1-c1cccc(C)c1,0
O=C(Nn1cnnc1)c1ccccc1-c1ccccc1,0
O=C(NCCC1=CCCCC1)C1COc2ccccc2O1,1
O=C(NCCN1CCOCC1)c1cc(O)nc2ccc(Br)cc12,0
O=C(Cn1cccc1)Nc1ccc(F)cc1F,0
COCCCNC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(C(C)C)c1=N,0
Cc1cc(CC(=O)O)c(C)cc1CC(=O)O,0
O=C1CNC(=O)C1=CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0
CC1CCCCN1C(=O)CSc1nnc(-c2ccco2)n1CC1CCCO1,1
O=C1CCN(C(=O)Nc2ccccc2)N1,0
CC1CCCC(NC(=O)COC(=O)CC2CCCC2)C1C,0
CCCOc1ccc(C2C(C#N)=C(N)Oc3ncnc(O)c32)cc1OC,0
O=C(CN1C(=O)NC2(CCCC2)C1=O)NCCC1=CCCCC1,1
COc1ccc(C(c2sc3nc(C)nn3c2O)N2CCN(CCO)CC2)cc1OC,0
Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)N3CCCCC3)CC2)cc1,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
COc1ccccc1-c1noc(CCC(=O)Nc2ccccc2Cl)n1,1
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,0
O=C1CSC(=CC(=O)c2ccccc2)N1,0
COc1ccccc1CNC(=O)C1CCCN(S(=O)(=O)c2c[nH]cn2)C1,1
CC(=NNc1nc(-c2ccc(C)cc2)nc2ccccc12)c1ccc([N+](=O)[O-])cc1,1
Cc1cc(C)n(-c2nc(C)nc(NCc3ccccc3)n2)n1,0
COc1ccc(-c2cc3ccccc3oc2=O)cc1NC(=S)NC(=O)c1ccc2c(c1)OCCO2,0
Cc1ccc(C(=O)NC(C)(COc2nonc2C)COc2nonc2C)cc1,1
COc1ccccc1CNC(=O)C1COc2ccccc2O1,1
COc1ccc(-c2nc3ncccn3c2Nc2ccc3c(c2)OCCO3)cc1,0
O=C(O)Cn1cc(C(=O)C2CC2)c2ccccc21,0
Cc1ccsc1C=Nc1ccc(O)cc1,0
CN(C)c1ccnc(Oc2ccc(Cl)cc2)c1C#N,1
CC(Sc1nnc(O)nc1O)C(=O)OCc1ccccc1,0
CCN1CCN(C(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)CC1,0
CCS(=O)(=O)N1CCC(C(=O)NCCc2ccc(OC)c(OC)c2)CC1,0
O=C(c1cccc(Br)c1)N1CCN(C(=O)N2CCCCC2)CC1,1
CC(NCCN1CCOCC1)=C1C(=O)NC(=O)N(c2ccccc2C)C1=O,0
COc1ccc(CCNC(=O)C2CCN(S(=O)(=O)c3ccc(OC)c(OC)c3)CC2)cc1,0
CCOc1ccc(OCC)c(S(=O)(=O)NCc2ccc3c(c2)OCO3)c1,1
COCC(=O)N1CCC2(CCCN(C(c3ccccc3)c3ccccc3)C2)CC1,0
O=C(CSc1nnnn1C1CCCCC1)Nc1nc2c(s1)CCCC2,1
CCOc1ccc(-c2cc(N)n(S(=O)(=O)c3ccc(OC)cc3)n2)cc1,0
CCC(C)C(NC(C)=O)C(=O)NC(=O)NC(c1ccccc1)c1ccccc1,1
CCCCn1c(N)c(N(CCC(C)C)C(=O)CSc2nnc3ccccn23)c(=O)[nH]c1=O,0
CC(C)Oc1ccc(C2CNC(=O)C2)cc1,0
CSc1cc(C)nc(NC(C)=O)n1,1
CCN(CC)CCNC=C1C(=O)NC(=O)N(CCc2ccccc2)C1=O,0
O=c1ccn(Cc2ccccc2Cl)cc1,0
N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,0
COc1ccc(C(=O)N2CCCC3(CCN(Cc4ccc(C#N)cc4)C3)C2)cc1,0
O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2C(F)(F)F)CC1,1
Cc1noc(NS(=O)(=O)c2ccc(NC(=O)CSc3nc4c(cc3C#N)CCCCC4)cc2)c1C,0
COc1cccc(NC(=O)CSc2nc3c(c(=O)n2C)SC(C)C3)c1,1
COC(=O)c1ccc(Cn2nc(C)c(Br)c2C)cc1,1
COC(=O)C(C)NC(=O)CC=CC(C)CO,0
Cc1oc(-c2cccs2)[n+]([O-])c1C,0
Cc1cc(OCC(=O)Nn2cnnc2)ccc1Br,1
O=C(O)c1cc(N2C(=O)C3C4C=CC(C4)C3C2=O)ccc1NCc1cccnc1,0
CC1=NN(c2ccc(C)cc2C)C(=O)C1C(c1ccccc1)C1C(=O)N(c2ccc(C)cc2C)N=C1C,1
CC(C)CCn1c(N2CCOCC2)nc2c1c(=O)n(CC(N)=O)c(=O)n2C,0
CN(Cc1ccccc1)C(=O)CCC(=O)N(C)Cc1ccccc1,0
CCCCN1C(=O)C2ON(c3ccccc3C)C(c3ccco3)C2C1=O,1
OCCN(CCO)c1ncnc2c1oc1ccc(Br)cc12,0
CC1CCN(C(=O)CSc2nc(N)cc(N)n2)CC1,0
CC1CCCC(C)N1CCCNC(=O)Cn1cc2c(n1)CCCC2,0
COc1ccccc1NC(=O)N1CCCC1C(=O)Nc1nnc(C(C)C)s1,0
Cn1nnc2cc(C(=O)N3CCSCC3)ccc21,0
CCn1c(SCCOc2ccc(Cl)cc2)nnc1-c1cccs1,1
O=C(c1cc(-c2ccco2)on1)N1CCN(c2ccccc2)CC1,1
CC(=O)N1CC2(CC2)CC1c1ccccc1,0
CCOC(=O)N1CCN(C(=O)CCN2C(=O)COc3ccccc32)CC1,0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0
c1ccc(CCNc2ncnc3c2nnn3Cc2ccccc2)cc1,0
Cc1ccc(-c2nnc(SCC#CCOC(=O)c3ccco3)o2)cc1,1
COc1ccc(-n2c(C)nn(C)c2=O)cc1,0
CCCCC1CC1C(NC(=O)c1cccs1)c1ccc(Cl)cc1,1
Cc1c(C(=O)NCC2CCCO2)sc2nc(-c3ccc(F)cc3)cn12,0
O=c1[nH]c(SCc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)nc(=S)[nH]1,0
CCOc1ccc(C=Nn2c(SC)nnc2-c2ccccc2)cc1OCC,1
CCCCc1n[nH]c2c1C1(C(=O)N(CC)c3ccccc31)C(C#N)=C(N)O2,0
CC(=O)Nc1ccc(S(=O)(=O)c2c(N)n(CCN3CCOCC3)c3nc4ccccc4nc23)cc1,0
Fc1ccc(Cn2ccc(-c3cnc(-c4ccccc4)s3)n2)cc1,1
COc1ccc(OC)c(C2C(C#N)=C(N)Oc3cc(N)ccc32)c1,1
CN1CCN(c2ccc([N+](=O)[O-])c(NN=C3CN4CCC3CC4)c2)CC1,1
Cc1cc(NC(=O)CSc2nccn2-c2ccc(Cl)cc2)no1,1
CCOc1ccc(S(=O)(=O)Nc2cc(C)ccn2)c2ccccc12,0
O=C(C(Cl)Cl)N1c2ccccc2OCC1c1ccccc1,1
Cc1c(-c2ccccc2)nc(N)c(C#N)c1-c1cccs1,0
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1
COc1ccc(C(c2c(O)ccc3ccccc23)N2CCOCC2)c(OC)c1,1
CCOc1cc(C=C2C(=O)N(c3ccccc3)N=C2C)ccc1OC(=O)c1cccs1,1
CN(C)c1ccc(C=[N+]([O-])C(C)(C)C=NO)cc1,0
O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,0
Cc1csc2ncc(C(=O)N(Cc3ccccc3)c3ccccn3)c(=O)n12,0
COCCNC(=O)CSc1nc(-c2ccccc2)c(-c2ccccc2)o1,1
CCn1c(SCC(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)nnc1-c1ccco1,1
CCC(=O)N=C(NC(=O)CC)Nc1nc2ccccc2s1,0
Cc1oc(-c2ccc(Cl)cc2)nc1CN1CCC(C(=O)NCCCN2CCOCC2)CC1,0
O=C(NC1CCCCC1)C(c1ccc(F)cc1)N(C(=O)Cc1ccsc1)c1ccc(F)cc1,0
CC(CNC(=O)C1CCCCC1C(=O)O)c1ccccc1,0
COc1ccccc1CN1CCC2(CCCN(C(=O)c3cnccn3)C2)C1,0
CC1CN(C(=O)c2cn3ccccc3n2)CC(C)O1,0
O=C(O)c1ccn(Cn2cnc3ccccc32)n1,0
COc1ccc(N2C(=O)CSC2c2ccc3c(c2)OCO3)c(OC)c1,1
CN1C=CC=CC1=C(C#N)c1nc2ccccc2[nH]1,0
Cn1cccc1C(=O)N1CCC2(CC1)CN(C(=O)Nc1ccccc1)C2,0
CCC(=O)Nc1cccc(C(=O)c2ccccc2)c1,1
O=S(=O)(O)C(CO)c1ccccc1,0
CN(c1ccccc1C(=O)NCC1CCCO1)S(C)(=O)=O,0
O=C(CN1C(=O)NC2(CCCc3ccccc32)C1=O)NCc1ccco1,0
O=C(O)CCN(CCC(=O)O)c1ccccc1,0
O=C1NC(=O)C2C1C(C(=O)c1cccs1)N1C=Cc3ccccc3C21,0
C=CCn1c2ccccc2c2nnc(SCN3C(=O)c4ccccc4C3=O)nc21,1
COc1ccc2nc(O)c(CN(CCO)C(=O)NCc3ccccc3)cc2c1,0
OC(COCc1ccc2c(c1)OCO2)CN1CCN(Cc2ccccc2)CC1,0
NCCNS(=O)(=O)c1ccc(N)cc1,0
O=[N+]([O-])c1cccc(-c2nc(-c3ccncc3)no2)c1,1
COc1ccc(CNc2nc3c(c(=O)[nH]c(=O)n3C)n2CCCc2ccccc2)cc1,0
CCOC(=O)c1cnc2c(Cl)ccc(Cl)c2c1O,0
CC(=O)C1=C(O)C(=O)N(CCC(=O)O)C1c1cccc(F)c1,0
C=CCC(NC(C)c1ccccc1)c1ccco1,0
CCOc1cc(C=C2C(=O)N(c3ccccc3)N=C2C)ccc1OC(=O)c1ccco1,1
Cc1ccc(OCCCN2C(=O)C(=O)c3cccc(C)c32)cc1,1
CCOC(=O)CSc1nc2ccccc2c(=O)n1CC1CCC(C(=O)NCc2ccco2)CC1,1
Fc1ccc(CN(Cc2ccccc2)C(c2cccs2)c2nnnn2C2CCCCC2)cc1,0
O=C(O)c1ccccc1C(=O)c1cccs1,0
O=c1c2c3nc4ccccc4nc3n(-c3ccc4c(c3)OCCO4)c2ncn1CC1CCCO1,0
CCCCC(c1nnnn1CC1CCCO1)N1CCN(c2cc(Cl)ccc2C)CC1,1
CCCCCNC(=O)CC1N=C2c3ccccc3NC(=S)N2C1=O,0
O=C1CSc2nc3ccccc3n21,0
COc1cccc(N(CC(=O)N2CCN(c3ccccc3OC)CC2)S(C)(=O)=O)c1,0
CON=C(CS(=O)(=O)c1ccc(Br)cc1)c1ccc(OC)cc1,1
S=C(NN=Cc1ccccc1Cl)Nc1ccccc1,0
Cc1nc2cc(Cl)ccc2n1CCO,0
CCCOc1ccc(C(=O)C2=C(O)C(=O)N(c3cc(C)on3)C2c2ccc(C(=O)OC)cc2)cc1,0
O=C(O)C=CC(=O)Nc1ccccn1,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0
O=C(c1[nH]o[n+](=O)c1C(=O)c1csc2ccccc12)c1csc2ccccc12,1
CC(C)Oc1ccccc1C1Nc2ccccc2C(=O)N1c1ccc2c(c1)OCCO2,1
Cc1ccc(Cn2c(Sc3nnc(C)s3)nc3c2c(=O)[nH]c(=O)n3C)cc1,0
CCN1CCN(Cc2ccc3c(c2)Cc2ccccc2-3)CC1,0
COc1ccc(-c2nc(-c3cccs3)c(-c3cccs3)[nH]2)cc1OC,1
CCOC(=O)Cn1nc(CC)c2ccccc2c1=O,0
Cc1ccc2c(c1)c1c3n2CCCNC3CCC1,0
Cc1ccc(C)c(C(=O)COC(=O)c2ccccc2N2C(=O)C3C4CCC(C4)C3C2=O)c1,1
COC(=O)Cn1cnc2ccccc2c1=O,0
C=CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2CCN(C)C)c1,0
CCOc1ccc(Oc2nc(Nc3ccc(C)cc3)nc(N(C)C)n2)nn1,0
CCc1ccc(-c2nnn(Cc3nc4ccccc4s3)n2)cc1,0
Cc1c(NC(=O)c2cnn3c2NC(c2ccccc2)CC3C(F)(F)F)c(=O)n(-c2ccccc2)n1C,0
CCCCNC(=O)C(CC)Sc1nc2sc(C(=O)OC)c(C)c2c(=O)n1N,1
O=C(CC1NC(=O)NC1=O)NC1(C(=O)NC2CCCCC2)CCCCC1,0
COCCn1c(C)cc(C(=O)COC(=O)CCc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1C,0
Cc1ccc(-n2c(-c3cc(C)n(C)n3)n[nH]c2=S)cc1,0
O=C(Nc1n[nH]c(C2CCCCC2)n1)C1CCCCC1,0
O=C(CCCn1c(=O)c2sccc2n(Cc2ccc(F)cc2)c1=O)NCc1ccco1,1
O=C(CCS(=O)(=O)c1cccc2nonc12)NCCc1ccccc1Cl,1
O=S(=O)(Nc1ccc(Cc2ccncc2)cc1)c1cccs1,1
COc1ccc(N(CC(=O)NCc2cccc(OC)c2)S(=O)(=O)c2c(C)noc2C)cc1,1
Nc1ccc(Nc2ccccc2)cc1,1
Cc1nc2ccccc2c(O)c1CN(C)Cc1ccccc1,0
CN(C)c1cc[n+](C(C(=O)c2ccc(Cl)cc2)=C(S)NCc2ccco2)cc1,0
C[N+](C)(C)C(Cc1c[nH]c(=S)[nH]1)C(=O)O,0
CN(C)CCNS(=O)(=O)N(C)C,0
CC(C)c1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,1
COc1cc(N)ccc1C(=O)O,0
CC1CCCC(C)N1C(=O)COc1ccc(-c2nnco2)cc1,0
CCC(c1nnc(SCC(=O)NCCc2ccc(Cl)cc2Cl)o1)N(C)C,1
O=C1NCCCC1C(=O)N1CCN(C(=O)C2CCCNC2=O)CC1,0
CNc1nc(-c2ccc(C(=O)N(C)C)cc2)nc2ccccc12,0
CC(C)NC(=O)CSc1nnc(-c2ccncc2)n1-c1ccccc1,1
CN1CCN(C(=O)C2CCCCC2C(=O)O)CC1,0
O=c1[nH]c(=S)[nH]c2c1CN(CCCN1CCOCC1)CN2,0
COc1cccc(N(C(=O)Cn2nnc(-c3cccs3)n2)C(C(=O)NC2CCCCC2)c2ccncc2)c1,0
CCCC(=O)Nc1ccccc1-c1nnc(SC)nc1O,0
COc1ccccc1-c1ccc2ncnc(N(C)Cc3ccco3)c2c1,1
O=C(Cn1c(CN2CCCCC2)nc2ccccc2c1=O)Nc1ccccc1,1
CCOC(=O)c1c(N)sc(C(O)(C(F)(F)F)C(F)(F)F)c1-c1ccccc1,1
CC(=O)Nc1ccc(S(=O)(=O)NC(=O)C23CC4CC(CC(C4)C2)C3)cc1,0
CCN(CC)c1ccc(NC(=O)CN2CCN(c3ccc(F)cc3)CC2)cc1,0
O=c1[nH]c2cc(Cl)ccc2n(CCNc2ncc(C(F)(F)F)cc2Cl)c1=O,0
COC(=O)c1ccc(N2C(=O)c3ccc(OC)c(OC)c3C2=O)cc1,0
O=C(O)c1ccc(CSc2nnc(COc3ccc(Cl)cc3Cl)o2)cc1,0
O=C(Nc1cc(N2CCOCC2)ncn1)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,0
N#Cc1c(N)nc2c(c1N)CC(COc1ccccc1)O2,0
O=C(NCc1ccccc1)c1cccc(COc2cccc(Cl)c2)c1,1
CC1CCc2c(sc(NC(=O)c3ccc(Cn4cc([N+](=O)[O-])cn4)o3)c2C#N)C1,0
CCOCC(=O)Nc1nc2c(s1)C(=O)CC(C)(C)C2,0
ONc1c(O)[nH]c2ccccc12,0
O=C(CSc1nnc(NC(=O)c2ccco2)s1)NC1CCCCC1,0
CCCOc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2CCN2CCOCC2)cc1OC,0
O=C(CSc1nnnn1C1CCCC1)Nc1cccc(NC(=O)c2ccco2)c1,1
Cc1ccc(C2=[N+]([O-])C3(CCCCCC3=NNC(N)=O)N(O)C2(C)C)o1,0
O=C1C=C(NCCc2cc(Br)c(O)c(Br)c2)C(=O)c2ncccc21,1
COc1cc(-c2cc(N)n(S(=O)(=O)c3ccc(F)cc3)n2)cc(OC)c1OC,1
CCC(CC)C(=O)Nc1cc(OC)c(OC)cc1C(=O)O,0
OCCNCCCOc1cccc(Cl)c1Cl,1
C(=Nn1cnnc1)c1cccc(OCCOc2ccccc2)c1,1
COc1cc(-c2nnc(SCC(=O)Nc3ccc4c(c3)OCCO4)o2)cc(OC)c1OC,1
CCC(Oc1ccccc1)C(=O)Nc1ccc(-c2nnc(-c3ccco3)o2)cc1,1
CCOC(=O)CCc1c(C)nc2ncnn2c1C,0
CC(C)Sc1nc2c(c(=O)n1-c1ccc(F)cc1)SCC2,0
COc1cc(C=C(C#N)C(=O)NCCc2c[nH]c3ccccc23)ccc1OCc1ccccc1F,0
COC(=O)C1=C(C)N=C2SC(C#N)=C(N)N2C1c1cc(OC)c(OC)c(OC)c1,1
O=C(Nc1cccc2c1CCCC2)C1CCN(C(=O)NC2CCCCC2)CC1,0
O=C(CN(C(=O)CSc1nc2ccccc2o1)c1cccc(F)c1)NC1CCCCC1,1
O=C1CCN(C(=O)Nc2ccccc2Cl)N1,0
CN1CCc2nc(N)c(C#N)c(-c3ccccc3)c2C1,0
NC(=O)c1c(N)sc(=S)n1-c1ccccc1,0
Cc1ccc(C(=O)CNc2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccccc2)cc1,1
CCCc1cc(C(=O)Cc2ccc(F)cc2)c(O)cc1O,1
N#CCCN(C(=O)c1ccco1)c1ccccc1,0
Cn1c(NC(=O)c2ccc(C(C)(C)C)cc2)cc(=O)n(C)c1=O,0
CCNc1nc(NC(C)C)nc(Nn2cnnc2)n1,0
COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,0
Cc1ccc(-c2nc3ccccc3o2)cc1NC(=S)NC(=O)C=Cc1ccco1,0
COCCn1c(SCC(=O)N2CCCc3ccccc32)nc2ccccc2c1=O,1
O=C1c2ccccc2NC(c2ccc3c(c2)OCCO3)N1c1ccc2c(c1)OCCO2,1
Cn1cccc1C(=O)NC(=O)COC(=O)CC12CC3CC(CC(Br)(C3)C1)C2,0
Fc1ccc(-c2nnc(-c3ccc(Cl)cc3)o2)cc1,0
Cc1cc(C)c(C#N)c(SCc2ccccc2C(=O)O)n1,0
C=CCn1c2ccccc2c2nnc(SCc3ccc4nonc4c3)nc21,1
COCCNC(=O)c1ccc2c(c1)nc(C)n2-c1cccc(F)c1,0
CCOC(=O)N1CCN(C(=O)CN(c2ccc(OCC)cc2)S(C)(=O)=O)CC1,0
O=C(c1ccc(NC2=NC3CS(=O)(=O)CC3S2)cc1)N1CCN(Cc2ccccc2)CC1,0
COc1ccc(NC(=O)Cn2nnc(-c3ccccc3NC(=O)c3cccs3)n2)cc1,0
COC(=O)c1ccc(C(=O)Nc2ccc(N)cc2N)cc1,0
CCOC(=O)N1CCN(CC(=O)Nc2c(C(=O)OC)[nH]c3cc(C)ccc23)CC1,0
COc1ccc(-c2nc(C#N)c(NCCCn3ccnc3)o2)cc1OC,1
